case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,,Conclusion
,,,,,,,,,,,
4,"Pradeep Mehta vs Union Of India And 5 Ors on 26 August, 2024","3. The relevant facts are:

The petitioner is a medical practitioner. He is a Gynaecologist and a senior citizen. He has investment in the shares and securities issued by Indian companies, which are long term investments held in the Demat accounts in question. Such investments were intended to have the benefit of funds, as per his retirement. One of the investments the petitioner made was in a company, which appears to have been promoted in the year 1989 by his father-in-law namely Shrenuj & Company Limited (for short ""Shrenuj""). The petitioner subscribed 2000 shares of Shrenuj in the year 1989 and thereafter 1000 shares in the year 1993. By way of a sub-division (1:5) in the year 2005, the petitioner's shareholding in Shrenuj increased to 15,000 and further by bonus shares in the proportion of 1:2 issued in the year 2014, which made the petitioner's shareholding at 30,000 shares.
The petitioner contends that he sold 9478 shares in February 2016
-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt keeping his shareholding in Shrenuj to about 20,522 shares, which was less than 0.01% of the total paid-up share capital of Shrenuj.","1. These are two petitions filed under Article 226 of the Constitution of India. The reliefs prayed for are quite similar, which pertain to challenging the action of the Bombay Stock Exchange and the National Stock Exchange under the directives of the Securities and Exchange Board of India (SEBI) to freeze the Demat Accounts of the Petitioner. The first Petition No.1590 of 2021 is filed by Dr. Pradeep Mehta and the second Petition (Writ Petition No.2228 of 2021) is filed by his son Neil Pradeep Mehta. We proceed to adjudicate each of these Petition as under. Writ Petition No.1590 of 2021 (Dr. Pradeep Mehta v/s. Union of India).
","This is to inform you that in accordance with to the above SEBI circular and based on the emails received from NSE, 'Quantity level freeze' has been marked on following securities held in the Beneficial Owner (BO) account of Promoters/Promoter Group of the concerned non-compliant company as provided by NSE.",,"4. In 2016, the petitioner learnt that there was some litigation in regard to the affiliate of Shrenuj in Hong Kong. It was learnt that Shrenuj was facing financial issues. It is stated that as a result of which , Shrenuj could not file its financial results as per the SEBI Regulations namely the ""Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015"", (for short ""SEBI (LODR) Regulations"")","19. A reply affidavit is filed on behalf of the respondent no. 2 - SEBI of Ms. Suvarna Agarwal, Assistant Manager, Corporation Finance Department, Securities and Exchange Board of India. The affidavit states that the petitioner's demat accounts are frozen in pursuance of the Circulars dated 30 November 2015 and 26 October 2016 issued by SEBI which prescribe the 'Standard Operating Procedure', for suspension and revocation of trading of specified securities, detailing the manner in which the exchanges shall deal with non-compliance or contravention of SEBI","sebi-wp-1590-21 24-8-24 final (2).odt to the affairs of Shrenuj or its functioning, directly or indirectly. He was never a part of its management or ever acted in any advisory capacity. He was classified as a 'Promoter' merely based on his relationship with the Chief Promoter of the Company, i.e. his father-in-law, about which he was unaware until June 2017, which he learnt only when his demat accounts were frozen by NSDL merely for the reason that he was one of the promoters of Shrenuj having initially subscribed to its shares . It is stated that the background for this being in March 2017, the petitioner, when received his monthly statement of accounts, found that some of his shares in his demat account maintained with the Stock Holding Corporation of India Limited (for short ""SHCIL"") were frozen. The case of the petitioner is that the NSDL by communications dated 23 March 2017 and 13 April 2017 freezed the demat account of the petitioner applying Circular No.CIR/CFD/CMD/12/2015 dated 30 November 2015 and Circular No. SEBI/HOCFD/CMD/CIR/P/2016/116 dated October 26, 2016. The NSDL freezed not only the petitioner's shareholding in Shrenuj & Company but also in ITC Limited. These communications addressed by NSDL to the SHCIL are required to be noted which read thus:

"" Exhibit NSDL/SC/2017/ss/0070A March 23, 2017 Ms. Sheela Kothavle Divisional Manager Stock Holding Corporation of India Limited-IN""",,,"Section 15-I. Power to adjudicate.-- (1) For the purpose of adjudging under Sections 15-A, 15-B, 15-C, 15-D, 15-E, 15- EA, 15-EB, 15-F, 15-G, 15-H, 15-HA and 15-HB the Board may appoint any officer not below the rank of a Division Chief to be an adjudicating officer for holding an inquiry in the prescribed manner after giving any person concerned a reasonable opportunity of being heard for the purpose of imposing any penalty."
,,"5. On 2 March 2017, respondent no. 3 - BSE issued a letter to Shrenuj in regard to non-submission of Financial Results under Regulation 33 of the SEBI (LODR) Regulations, inter alia stating that the company had not submitted to the Exchange its quarterly financial results for the period ended in December 2016, and hence, the company was liable to pay a fine of Rs. 1,84,000/- (penalty inclusive of service tax). The company was further advised to refer to Circular No. CIR/CFD/CMD/12/2015 dated 30 November 2015 issued by the SEBI. Shrenuj had taken up the issue with the SEBI by submitting its reply dated 20 March 2017 addressed to the BSE and National Stock Exchange Ltd. (for short ""NSE"").","2. The challenge raised in the petition is to the freezing of the ""demat account"" of the petitioner by the respondent no. 6 - National Securities Depository Limited (for short ""NSDL"") under the regulations / orders of the Securities and Exchange Board of India (for short ""SEBI"") merely for
","This is to inform you that in accordance with to the above SEBI circular and based on the emails received from NSE, 'Quantity level freeze' has been marked on following securities held in the Beneficial Owner (BO) account of Promoters/Promoter Group of the concerned non-compliant company as provided by NSE.",,"7. The petitioner contends that even though the aforesaid letters were addressed to the SHCIL, and recorded that a copy of the same was endorsed to the petitioner, the petitioner never received such letters, although the purport of these letters was so draconian.","26. A reply affidavit on behalf of respondent no. 3-BSE of Ms. Arpita Joshi, Manager is filed. The primary contention urged in the reply affidavit is in regard to the non-compliance of the SEBI (LODR) regulations by Shrenuj, which is stated to have resulted in its compulsorily delisting from the platform of stock exchanges and freezing of the demat account of the promoter and promoter group of the Shrenuj. It is stated that the petitioner's demat account being frozen on account of non- compliance with the provisions of the SEBI (LODR) Regulations for two consecutive quarters by Shrenuj. It is stated that the Notice dated 3 March 2017 issued by respondent no. 3 also provides for freezing of the shareholding of promoter and promoter group of the Shrenuj. It is stated that the petitioner was admittedly classified as the promoter of Shrenuj","This is to inform you that in accordance with to the above SEBI circular and based on the emails received from the Stock Exchange(s) on January 10, 2017, ISIN Level Freeze (Suspended for Debit & Credit) has been marked in the following Beneficial Owner (DO) account hased on list of PAN of Promoters/Promoter Group of the concerned ann-compliant company as provided by Stock Exchange(s) and holding securities of the arncerned non-compliant company.",,,"(2) The recognised stock exchange(s) shall also monitor adequacy/ accuracy of the disclosures made by listed entity with respect to provisions of these regulations. (3) The recognised stock exchange(s) shall submit a report to the Board, with respect to the obligations specified in sub- regulations (1) and (2), in the manner specified by the Board. (4) The recognised stock exchange(s) shall put in place appropriate framework including adequate manpower and such infrastructure as may be required to comply with the provisions of this regulation."
,,sebi-wp-1590-21 24-8-24 final (2).odt that it would defreeze the petitioner's shares upon receipt of the fine amount from Shrenuj.,"sebi-wp-1590-21 24-8-24 final (2).odt the reason that at one time petitioner happened to be one of the promoters of a company. The case of the petitioner is that such action of the NSDL at the behest of the Bombay Stock Exchange (for short ""BSE"") apart from being wholly illegal under the relevant statutory provisions, crosses all norms of fairness, reasonableness and legitimacy when tested on the touchstone of the rights guaranteed to the petitioner under Article 14, 21 read with 300A of the Constitution of India.
","10. In such circumstances, against the freezing of his demat account, the petitioner preferred an appeal before the Securities Appellate Tribunal (for short ""the Tribunal""). The Tribunal disposed of petitioner's appeal by its order dated 18 April 2018 directing the BSE and NSE to dispose of the

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt representation made by the Petitioner. The relevant contents of the said order are required to be noted which read thus:

""2. On 04.01.2018 appellant had made representation to SEBI against the impugned communications dated 23.03.2017 and 13.04.2017 and copies of the said representation were also forwarded to National Stock Exchange of India Limited )""NES"" for short) and Bombay Stock Exchange Limited (""BSE"" for short). Admittedly, SEBI has disposed of the representation made by the appellant by stating that it is for NSE & BSE to consider the representation made by the appellant. It is not in dispute that neither the BSE nor the NSE have considered the representation made by the appellant.
3. In these circumstances, we dispose of the appeal by directing BSE & NSE to dispose of the representation made by the appellant on 04.01.2018 within 4 weeks from today.""",,"11. Pursuant to the order dated 18 April 2018 passed by the Tribunal, Respondent no. 4 - NSE replied to the said representation of the petitioner by its letter dated 11 May 2018 inter alia stating that in accordance with the SEBI circulars dated 30 November 2015 and 26 October 2016 which prescribed for Standard Operating Procedure (SOP), detailing the manner in which the Exchange shall deal with non- compliance by the listed companies, the Exchange suspended the trading in the securities of Shrenuj, as Shrenuj had defaulted in filing of its Financial Results with the BSE for the quarters ending on June 2016, September 2016 and December 2016. A fine of Rs. 25,10,815/- also came to be imposed on Shrenuj. Further, the Exchange, seven days before freezing the petitioner's shareholding, had issued a notice to Shrenuj informing of the freezing of the promoters' shareholding and recording","sebi-wp-1590-21 24-8-24 final (2).odt subsequent Circular no. SEBI/HO/CFD/CMD/CIR/P/2016/116 dated 26 October 2016 issued by SEBI with respect to Standard Operating Procedure (SOP) for non-compliance of SEBI (LODR) Regulations, in terms of Notice bearing reference number 20170303-14 dated 3 March 2017 issued by respondent no.3/BSE. It is stated that the said notice also prescribed for freezing of the shareholding of promoter and promoter group of Shrenuj.","8. Meanwhile, Shrenuj addressed a letter dated 27 September 2017 to the BSE stating the reasons as to why the company could not submit the Quarterly Financial Results since the quarter ended on 30 June 2016.
",,,"19F. Penalty for failure to comply with directions issued by Board under section 19 of the Act.--If any person fails to comply with the directions issued by the Board under section 19, within the time specified by it, he shall be liable to a penalty which shall not be less than one lakh rupees but which which may extend to one lakh rupees for each day during which such failure continues subject to a maximum of one crore rupees."
,,"12. Respondent no. 3/BSE replied to the said representation of the petitioner by its letter dated 15 May 2018, stating that it is not in a position to issue instructions to de-freeze the petitioner's securities except in accordance with the SEBI circulars and further advised the petitioner as a promoter to insist upon Shrenuj to comply with the applicable requirements at the earliest.","Sub: SEBI Circular No. CIR/CT/D/CMD/12/2015 dated
","19. A reply affidavit is filed on behalf of the respondent no. 2 - SEBI of Ms. Suvarna Agarwal, Assistant Manager, Corporation Finance Department, Securities and Exchange Board of India. The affidavit states that the petitioner's demat accounts are frozen in pursuance of the Circulars dated 30 November 2015 and 26 October 2016 issued by SEBI which prescribe the 'Standard Operating Procedure', for suspension and revocation of trading of specified securities, detailing the manner in which the exchanges shall deal with non-compliance or contravention of SEBI

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt (LODR) Regulations, 2015, by listed companies. It is stated that SEBI was established to inter alia protect the interests of investors in securities and to promote the development of and to regulate the securities market. It is stated that under section 11 of the Securities and Exchange Board of India Act, 1992 (for short ""SEBI Act""), SEBI has wide powers to protect the interests of the investors in securities and to promote the development of and to regulate the securities market. These powers inter alia include the power to specify the requirements for listing and transfer of securities as provided under Section 11A of the SEBI Act. It is further stated that in terms of section 30 of the SEBI Act and section 31 of the Securities Contracts (Regulation) Act, 1956 (for short ""SCR Act""), SEBI has power to make regulations to carry out the purposes of the Act. It is next stated that SEBI thus exercises powers to protect the investors' interests and make regulations consistent with the provisions of the SEBI Act and that similar to Section 31 of the SCR Act, Section 31 of the SEBI Act provides every regulation made by SEBI under the SEBI Act to be laid, as soon as after it is made, before each House of Parliament, while it is in session, for thirty days. If both Houses agree that any regulation should not be made or should be made in a modified form, such modification or annulment has to be followed.",,"13. It is contended by the petitioner that on 2 June 2018, BSE issued a public notice published in the daily newspaper ""Financial Express""

notifying the delisting of several companies including Shrenuj with effect from 4 July, 2018. In pursuance thereto, on 4 July 2018, SEBI delisted Shrenuj as per the public notice. NSE also issued a further notice dated 27 July 2018 to delist Shrenuj with effect from 8 August 2018. As a consequence of such delisting, the petitioner's demat accounts were wholly frozen. Consequent thereto Respondent no. 6-NSDL issued a letter dated 8 August 2018 informing the petitioner of freezing of his demat account as 'suspended for debits'.","sebi-wp-1590-21 24-8-24 final (2).odt requirements of Section 15A are satisfied for levy of such penalty. It is hence submitted that in any case, penalty cannot be imposed unless the procedure in law is followed, namely, that hearing be given to the person on whom penalty is to be imposed. Such amount of penalty is not being taken in the Consolidated Fund of India but as income as GST and TDS are deducted. It is submitted that such action on the part of the SEBI is, in fact, as good as a scam as in such manner large amounts of money are being collected, in a manner not recognized by law and not credited to the Consolidated Fund of India.","9. The petitioner also addressed a detailed letter dated 4 January 2018 to the SEBI stating that he was never in any direct or indirect control of Shrenuj, and that he never held any post in the company; that he was unaware of the company having allegedly violated the (LODR) Regulations. He further stated that he was named as an investor promoter of Shrenuj and company at the time of its incorporation in the year 1989 and that he had never been a director of the company or involved in any of its day to day affairs. He stated that no notice or an opportunity of a hearing was given to him before freezing his shares.
",,,"(2) While holding an inquiry, the adjudicating officer shall have power to summon and enforce the attendance of any person acquainted with the facts and circumstances of the case to give evidence or to produce any document, which in the opinion of the adjudicating officer, may be useful for or relevant to the subject-matter of the inquiry and if, on such inquiry, he is satisfied that the person has failed to comply with the provisions of any of the sections specified in sub-section (1), he may impose such penalty as he thinks fit in accordance with the provisions of any of those sections."
,,"14. Subsequent thereto, the petitioner again filed an appeal before the Tribunal, which was disposed of by an order dated 4 September 2018, in view of an appeal as filed by Shrenuj (appeal no. 298 of 2018) being","sebi-wp-1590-21 24-8-24 final (2).odt November 30, 2015.","20. It is next stated that pursuant to the powers conferred on the SEBI

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt under Sections 11(2), 11A and 30 of the SEBI Act, read with Section 31 of the SCR Act, the SEBI (LODR) Regulations, 2015 were made and brought into force after following the procedure as stipulated in Section 31 of the SEBI Act. It is stated that under sub-section (2) of Section 11A of the SEBI Act, SEBI may specify the requirements of listing and transfer of securities or other incidental matters. Prior to SEBI (LODR) Regulations 2015, the listing obligations and disclosure requirements were governed by the listing agreements entered into between a company which intended to be listed on the stock exchanges. Clause 39 of such Listing Agreements entered between the companies intending to get listed and the Stock Exchange(s) provided that such Company would agree that in the event of the application for listing being granted, such listing shall be subject to the Rules, Bye-laws and Regulations of the Exchange which are in force at the time of entering into the agreement or thereafter. It is stated that the Bye- Laws of the Stock Exchanges inter alia mandate that every listed Company shall comply with the conditions of the Listing Agreement as prescribed from time to time by such Stock Exchanges and/or SEBI and shall be liable to pay such fine(s) as may be prescribed by such Stock Exchanges and/or SEBI for non-compliance of the Listing Agreement or any of the SEBI Regulation dealing with listing.",,"15. On 23 March 2021, the Petitioner received an email from the Chairman of Action Financial Services (India) Ltd, (for short ""AFSIL"") informing the petitioner that his demat account with a depository participant ""AFSIL"" was either in suspended status or case of death transmission and all accounts which could not be closed due to this issue will get shifted to NSDL managed ""Omnibus System"" w.e.f. 23 March 2021. The petitioner however desired that the securities in the petitioner's frozen demat account, be transferred to his other demat account, however, due to the freezing of the securities by NSDL, the securities could not be transferred and the same was sent to the 'omnibus system' of NSDL.","42. On the other hand, learned Counsel for the SEBI has relied on the reply affidavit to justify the impugned action referring to the provisions of the SEBI Act, SCR Act and the regulations framed thereunder as referred to in the reply affidavit. The arguments are not different from what has been contended in the reply affidavit, which we have referred to in detail in the foregoing paragraphs. Additionally, it is argued that Section 9(2) of","22. It is next stated that respondent no. 3 and 4 issued directions to respondent no. 5 and 6 to freeze the demat account of the petitioner under the aforesaid statutory mechanism. It is also stated that the freezing of demat account of the petitioner is also a consequence of Compulsory Delisting of Shrenuj, under the provisions of the SEBI (Delisting of Equity Shares) Regulations, 2009 (for short ""Delisting Regulations 2009""), as applicable at the relevant time, which have been replaced by SEBI (Delisting of Equity Shares) Regulations, 2021. The affidavit further states that Circular dated 7 September 2016 pertaining to ""Restrictions on
",,,sebi-wp-1590-21 24-8-24 final (2).odt their interest with Shrenuj could be held to be liable for any subsequent defaults of Shrenuj.
,,"sebi-wp-1590-21 24-8-24 final (2).odt earlier disposed of by an order dated 28 August 2018, by which Shrernuj was directed to make a representation within 15 days to the BSE, and BSE was directed to consider the representation and pass a fresh order within 8 weeks thereafter. In this view of the matter, it was observed by the Tribunal that nothing survived in the petitioner's appeal.","Stock Holding Corporation of India Limited - IN301330 Madam, Sub: SEBI Circular No. SEBI/HO/CFD/CMD/CIR/P/2016/116 dated October 26, 2016.

","21. It is next stated in SEBI's affidavit that a need was felt for laying

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt down a regulatory framework by consolidating the listing obligations and disclosure requirements for listed entities at one place. It is stated that accordingly, the SEBI (LODR) Regulations 2015 were framed, to ensure that the rights of shareholders are protected and transparency in necessary disclosures by listed entities is maintained. Such regulations also provides for the rights, obligations, duties etc. of the listed companies and the stock exchanges. It is hence contended that the issuance of impugned Circulars dated 30 November 2015 and 26 October 2016 is well within the powers of SEBI under Regulations 97, 98, 99 and 102 read with Regulation 101(2) of SEBI (LODR) Regulations 2015. It is contended that the actions taken by respondent nos. 3 to 6 are in consonance with the SEBI (LODR) Regulations 2015 and the aforesaid circulars of SEBI.",,"18. It is on such conspectus, the petitioner has filed the present petition. The reliefs, as prayed for in the petition are required to be noted which read thus:-

""A. Issue a writ of mandamus or any other writ to quash Regulation No. 97, 98 and 99 of the (LODR) Regulations issued by the Respondent No. 2 as being ultra vires the SEBI Act and declare that the Respondent No. 2 has no powers whatsoever to come out with any circular or notification that 'creates' offences.
B. Issue a writ of mandamus or any other writ to quash the circulars issued by the Respondent No.2 under the powers granted to itself under Regulation 98 of (LODR) and declare that the Respondent No.2 has no powers whatsoever to come out with any circular or notification that empowers them to delegate the power to regulate, adjudicate, penalize or freeze accounts.
C. Declare that the Respondent No.3, 4, 5 and 6 have no powers whatsoever to direct collection of Penalties from the Listed entities or Promoters or Investors or to freeze demat accounts.
D. Direct the Respondent No. 1 to inquire into violations/non- compliances with law made by the Respondent No.2 that resulted in thousands of crores of government revenues getting diverted.","43. On behalf of the other respondents, submissions are advanced which is in fact the case of these respondents as urged in the reply affidavits which we have noted hereinabove.","sebi-wp-1590-21 24-8-24 final (2).odt Promoters and Whole-Time Directors of Compulsorily Delisted Companies Pending Fulfillment of Exit Offers to the Shareholders"" was issued in terms of Chapter V of the Delisting Regulations 2009. It is stated that under Regulation 24 of Chapter V of the Delisting Regulations 2009, the company, its whole-time directors, its promoters and the companies promoted by any of them are not allowed to directly or indirectly access the securities market or seek the listing of any equity shares for ten years from the date of such compulsory delisting. It is next stated that under Regulation 23(3) of Chapter V, in case of compulsory delisting of the company, the promoters of such delisted company are required to acquire delisted equity shares from the public shareholders, subject to their option of retaining their equity shares, by paying public shareholders the fair value as determined by the independent valuer appointed by the concerned stock exchange. It is stated that Regulation 29 of the Delisting Regulations 2009 itself envisages that the respective recognized stock exchanges shall monitor compliance with the provisions of these regulations and shall report to the Board any instance of non- compliance which comes to their notice. It is hence stated that as a result of compulsory delisting of the securities of Shrenuj, NSDL informed the petitioner on 8 August 2018, that the petitioner's account was ""Suspended for Debits"" in accordance with the Circular dated 7 September 2016.
",,,sebi-wp-1590-21 24-8-24 final (2).odt
,,"17. Lastly, the petitioner, through his advocates addressed a detailed notice dated 7 June 2021 to respondent no. 2 - SEBI setting out its grievances and requesting to immediately take steps to defreeze the petitioner's demat accounts and the securities held by him. There were exchange of letters between the parties, however, there was no response from the respondents.","Stock Holding Corporation of India Limited - IN301330 Madam, Sub: SEBI Circular No. SEBI/HO/CFD/CMD/CIR/P/2016/116 dated October 26, 2016.","25. The relevant extracts from the SEBI's affidavit are required to be noted which read thus:-

""36. .....(a) .. ... A promoter plays a vital role in raising capital for a company and, therefore, the promoter who continues to flout the byelaws and rules of exchange, LODR regulations and SCRA has to be dealt appropriately to protect the interest of the investors/shareholder of the said company. Additionally, under Regulation 5 of the LODR Regulations 2015, the Promoters, directors, key managerial personnel or any other person dealing with the listed entity are obligated to fulfil the responsibility assigned to the listed entity under the said Regulations. In addition to this, the Impugned Circulars are also in conformity with Regulation 98 of the LODR Regulations 2015 which explicitly provide for freezing of
-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt promoter/promoter group holding of designated securities as may be applicable.
(b).....In the instant case, several notices were issued to Shrenuj regarding its non-compliance with the LODR Regulations 2015 and the consequences flowing out of such non-compliance i.e. freezing of promoter shareholding was also duly informed to Shrenuj. An opportunity to rectify the non-compliance was also given by the Stock Exchanges which is abundantly clear from the documents produced on record by the Petitioner. Respondent No. 3, as per the SOP prescribed in the Impugned Circular dated 30.11.2015, issued a notice dated 02.03.2017 [Exh. A, Pg. 35, Petition] to Shrenuj intimating them of the non-compliance of Regulation 33 of the LODR Regulations 2015 and cautioning them that non-payment of fine would attract freezing of promoter and promoter group demat accounts. As Shrenuj did not pay the necessary fine, a Quantity Level Freeze was carried out on the Petitioner's demat account.
37. ... .. ......Further, it is denied that the personal demat accounts of the promoters or their relatives came to be frozen in violation of the Companies Act. I say and submit that their accounts were frozen as a direct consequence of continuous non-compliance of the LODR Regulations 2015 and non-payment of fines. Further, while it may be correct that the liability of a shareholder is curtailed only to the unpaid portion of the shares held by him/her, the Petitioner being a member of the promoter group is still liable in the said capacity for the actions, fines, and penalties as prescribed in the securities laws and regulations.
38... ... ... ...As per the contents of the said letter, the petitioner stated that he was named as an investor promoter of the Company at the time of its incorporation in the year 1989.
39. .. ... .. ....I submit and reiterate that under the Impugned Circulars, the stock exchanges are authorised to collect fines for non-",,"sebi-wp-1590-21 24-8-24 final (2).odt E. Direct the Respondent No. 3, 4, 5 & 6 to defreeze forthwith all demat accounts of the Petitioner.
F. Direct the Respondent No. 3 & 4 to pay a compensation of Rs. 1 Crore each to the Petitioner for freezing his demat accounts illegally and for preventing him from trading in shares.
G. Direct the Respondent No. 5 & 6 to compensate the Petitioner with Rs. 1 Crore each for maligning his public image by unethical public display of names under ""Accounts Frozen based on SEBI Orders"" section since 2017 even when no such order was passed.
H. Pending disposal of this Writ Petition this Hon'ble Court direct the Respondent No. 6 to transfer the securities of the Petitioner lying in the omnibus system to his demat account.
I. Pending disposal of this Writ Petition this Hon'ble Court direct the Respondent No. 3, 4, 5 & 6 to stop public display of the Petitioner's name on their portals.
J. For ad-interim relief in terms of prayer clause (H) & (I).
K. The costs and expenses of this Petition to be paid to the Petitioner.
L. Any other orders be passed as this Hon'ble Court may deem fit and proper.""","104. Learned counsel for the SEBI and BSE have prayed for stay of the order. Considering the facts of the case, instantly we have no hesitation in rejecting such request.","47.. .. ... .....I refer and rely upon the contents of paragraph 12 and submit that the Stock Exchanges have power to freeze the promoter/promoter group holding of designated securities in coordination with the depositories when such freezing is in terms of and in the manner specified by the Respondent No 2 under the SEBI Act and SCRA and the Regulations and Circulars issued thereunder. SEBI/ Respondent No. 2 Circular dated 07.09.2016 issued under the Delisting Regulations 2009 also provides for coordination between the depository and the stock exchanges in order to ensure the compliances of the said regulations and initiate actions for non-compliance.
",,,"sebi-wp-1590-21 24-8-24 final (2).odt terms (if any), and makes arrangements for advertising and circulating the prospectus and placing the capital, is emphatically a promoter in the fullest sense. He controls the formation and future of the Company, and it is this control which lies at the root of the fiduciary relation of the promoter to the Company. Nor is he the less a promoter if all or most of these activities are performed nominally by a Company which he controls."
,,"sebi-wp-1590-21 24-8-24 final (2).odt his correspondences has admitted to being the promoter of the said Company since 1998 and as a promoter, he ought to have known the consequences of non-compliance of LODR Regulations, Delisting Regulations and the Circulars issued under the said Regulations, by the Company promoted by him. The freezing actions taken against him come as a direct consequence of the non- compliance with the LODR Regulations 2015 and the compulsory delisting carried out in accordance with the Delisting Regulations 2009.","10. In such circumstances, against the freezing of his demat account, the petitioner preferred an appeal before the Securities Appellate Tribunal (for short ""the Tribunal""). The Tribunal disposed of petitioner's appeal by its order dated 18 April 2018 directing the BSE and NSE to dispose of the
","54. ... .... .....I say and submit that the freezing of accounts is in consonance with the LODR Regulations 2015 and the Delisting Regulations 2009 (now Delisting Regulations 2021), which were duly laid before the Parliament as per Section 31 of the SEBI Act and then brought into force. I further say and submit that the action of freezing of demat account is not a blanket provision applicable to all investors of a listed entity.""",,20. It is next stated that pursuant to the powers conferred on the SEBI,,"27. It is next stated that the petition suffers from delay and laches inasmuch as the petitioner has approached the court after a considerable delay of three years. The Petitioner's demat account was frozen in July 2018, hence, the cause of action to file any proceeding had accrued to the petitioner in the year 2018, however, the petitioner approached the court in the July/September 2021, that is after 3 years of delay. It is also stated that this petition also suffers from the vice of non-joinder of necessary party as Shrenuj was required to be impleaded as a respondent, for the reason that the consequence of freezing of demat account has befallen upon the petitioner on account of the non-compliance with provisions of the SEBI (LODR) Regulations by Shrenuj and its compulsory delisting from stock exchange platforms.
",,,means a company whose equity shares are delisted by the recognised stock exchange under Chapter V of the Delisting Regulations.
,,"29. It is next stated that the petitioner challenged the freezing of the Demat Account in an appeal filed before the Securities Appellate Tribunal, which was disposed of by an order dated 18 April, 2018 directing Respondent-BSE to dispose of the representation made by the Petitioner dated 4 January 2018, within 4 weeks therefrom. Accordingly, respondent no. 3-BSE disposed of the petitioner's representation by its communication dated 15 May 2018 inter alia recording that the petitioner was a promoter of Shrenuj, hence, the consequences of freezing of the demat account of Shrenuj applied to the petitioner.","16. The petitioner on such backdrop, addressed an e-mail dated 5 May 2021 to the NSDL making a grievance that the action to freeze the petitioner's demat account and the securities held by him was wholly illegal. NSDL responded to such e-mail by its letter dated 1 June 2021, directing the petitioner to approach BSE and NSE for clarification in regard to the freezing of his account. The petitioner responded to such
","28. It is next stated that the securities of Shrenuj were suspended from trading w.e.f. 27 March 2017 on account of non-compliance with Regulation 33 of the SEBI (LODR) Regulations for two consecutive quarters i.e., June 2016 and September 2016, pursuant to the provisions of Circular no. CIR/CFD/CMD/12/2015 dated 30 November 2015 and",,"sebi-wp-1590-21 24-8-24 final (2).odt down a regulatory framework by consolidating the listing obligations and disclosure requirements for listed entities at one place. It is stated that accordingly, the SEBI (LODR) Regulations 2015 were framed, to ensure that the rights of shareholders are protected and transparency in necessary disclosures by listed entities is maintained. Such regulations also provides for the rights, obligations, duties etc. of the listed companies and the stock exchanges. It is hence contended that the issuance of impugned Circulars dated 30 November 2015 and 26 October 2016 is well within the powers of SEBI under Regulations 97, 98, 99 and 102 read with Regulation 101(2) of SEBI (LODR) Regulations 2015. It is contended that the actions taken by respondent nos. 3 to 6 are in consonance with the SEBI (LODR) Regulations 2015 and the aforesaid circulars of SEBI.",,"33. Reply affidavit is filed on behalf of respondent no. 6 -NSDL of Mr. K.R. Harish Kumar, Senior Manager, National Securities Depository Ltd. It is stated that on 6 March 2017 and on 6 April 2017, NSE addressed emails to NSDL and directed for freezing of certain other securities held by the promoter/promoter group entities of certain listed entities (which included Shrenuj) on account of non-compliance, by such listed entities with the provisions of the ""SEBI (LODR) Regulations"". The said emails of NSE contained details of the Petitioner by virtue of him being a promoter of Shrenuj and the shares of ITC Limited, that were required to be frozen as held in the petitioner's Demat Account, in accordance with the SEBI Circular dated 26 October 2016. It is stated that accordingly NSDL initiated an ISIN level freeze in respect of shares of ITC Limited, based on the directions received from NSE. It s stated that thereafter, on 9 July 2018, BSE informed NSDL that trading notices had been issued by BSE for compulsory delisting of certain companies from the trading platform of the exchange w.e.f. 4 July 2018. BSE also shared a list of such companies
",,,6. The concerned recognised stock exchanges and depositories shall co-ordinate with each other for ensuring compliance of these requirements. SEBI may also take any other appropriate action(s) against the promoters/promoter group and directors of the compulsorily delisted company for non-compliance with sub- regulation (3) of regulation 23 of the Delisting Regulations.
