case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,Conclusion
,,,,,,,,,,
6,"Gulraj Hotels Pvt Ltd vs Novex Communications Pvt Ltd on 24 January, 2024","1. In the above suits Novex Communications Pvt. Ltd and Phonographic Performance Ltd. (for short ""Novex and PPL"") respectively are the Plaintiffs. Identical relief has been sought in the above suits namely a perpetual injunction restraining the Defendant from publicly performing or in any manner communicating the sound recordings of the songs assigned and authorized to PPL and Novex respectively without obtaining licences from PPL and Novex.","2. A preliminary issue has been raised by the Defendants in the above suits namely that Novex and PPL cannot carry on the business of issuing licenses without being registered as a Copyright Society under Section 33(1) of the Copyright Act, 1957 (""the Act"") and thus, the Suit as filed will not entitle PPL and Novex to any kind of relief.","5. Mr. Darius Khambata, has made submissions with regard to the scheme of the Copyright Act, which is divided into various chapters and each chapter deals with a different topic. He has referred to the meaning of the term ""Copyright"" and the rights associated with it covered in Chapter III of the Act, under Section 14. This defines a copyright to mean the exclusive right to reproduce a literary, dramatic or musical work in any material form including storing by electronic varsha 14 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc means, to make copies of such a work to perform it in public and in the case of a sound recording it includes the right to sell or give on commercial rentals or to communicate the sound recording to the public. He has submitted that the rights of the owner of copyright and its associate rights are covered in Chapter IV of the Act. Ownership of the copyright can be acquired in 4 broad ways. These are as under:-

i) By the author himself, being the first owner under Section 17;
ii) Situations in which the author creates a work in the course of his employment etc. for the benefit or on behalf of someone else, also under Section 17;
iii) Through an assignment under Sections 18 and 19 and
iv)Through testamentary disposition under Section 20.",,"4. Mr. Darius Khambata, learned Senior Counsel has made submissions on behalf of Novex which are supported by the Counsel whose appearances have been mentioned above. Whereas Mr. Ravi Kadam, learned Senior Counsel for PPL has made submissions on behalf of the PPL supported by the Counsel whose appearances are referred above.","6. Mr. Khambata has submitted that the aforementioned categories confer full and absolute ownership on the author/owner/assignee, as the case may be. Thus, the owner of the copyright could be an assignee. All the incidents of rights that are available to an owner are also available to an assignee. The rights are not higher or lower merely by virtue of the ownership rights being acquired through assignment. The Defendants termed the Plaintiffs as ""Aggregators"" whatever their characterization, in law, the Plaintiffs are as much owner as any other form of owner.","52. Mr. Khambata has submitted that when an owner takes an assignment of copyright, the object is to take ownership of the copyright. The consideration which prompted that is not the object or purpose of the contract. Analysis of the contracts entered into by Novex will show that the contracts have not even said anything about the assignment being taken for the purpose of business of granting license. Even assuming the contract did say that the contract was for the purpose of doing the business of granting license that would only describe the motive of the contract i.e. the reason Novex desired to take the assignment but that motive would still not be the object of the contract. Thus, Defendants' contention that if Novex has taken an assignment solely for the purpose of doing business, in licensing, then the assignment is for an unlawful object and therefore void, under Section 23 of the Contract Act, is misconceived.",,128. Mr. Narula has joined in the submission of Dr. Tulzapurkar that Novex and PPL have no right to maintain the present suits.
,,,"3. Thus the issue which falls for determination prior to going into merits of each of the above suits, is whether PPL and Novex in the above suits are entitled to seek reliefs as sought for in the plaint without being registered as a Copyright Society under Section 33 (1) of the Act.","7. Mr. Khambata has referred to Section 18(2) of the Act wherein it is provided that the assignee shall be treated for the purposes of this Act as the owner of copyright and the provisions of this Act shall have effect accordingly.
",,"12. Mr. Khambata has submitted that such a scheme provided under the Act would have been totally unnecessary if the Defendants were correct in their contention that it was only a ""registered copyright society"" which could carry on such business of issuing or granting licences. Accepting the Defendant's submission as pleaded and argued would amount to rendering this scheme meaningless.","13. Mr. Khambata, thereafter, referred to the Scope and object of the 1994 Amendment. By the 1994 Amendment a new chapter - Chapter VII was introduced, which deals with 'copyright society'. He has submitted that the object of 1994 Amendment was to promote the Collective administration of rights through a Copyright Society, both varsha 17 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc for the benefit of the owner as well as general public. The copyright societies, on an ""authorization"" from the owners could administer rights that were either licensed and/or assigned to them. As such, a Copyright Society fundamentally operated to administer rights in respect of works that belong to ""others"". He has submitted that by its very nature therefore, a copyright society may wear two hats i.e. (i) an authorized agent and (ii) an assignee. It administers the rights of ""owners"" by operating as an agent. He has submitted that reading of Clause 11 of the Notes on Clauses together with Sections 33 to 36 which have been introduced by 1994 Amendment Act was was merely to provide for registration and to regulate functioning of copyright societies. The amendments so introduced did not in any manner affect and/or circumscribe the rights of an owner to conduct its own affairs including granting of licenses by such owner. The ""sea change"" as sought to be contended by the Defendants is absolutely not evident from the 1994 Amendment or Notes on Clauses in this regard.",59. Mr. Kadam has submitted that PPL's repertoire has a majority of works over which it is the owner. These are two compelling reasons and factors because of which the Court ought to exercise its discretion under Section 61(1) to hold that it is not necessary to make the 11 music labels who are Licensors/Owners of the works as party Defendants to the Suit.,,131. Mr. Shenoy has also joined in the submission of Dr. Tulzapurkar and other counsel for Defendants in submitting that the Plaintiffs have no right to maintain the present suit and that this Court dismiss the Plaintiffs Interim Application.
,,,"51. Mr. Khambata has submitted that the Defendants' contentions are that the Assignment Agreements are illegal and erroneous. The Assignment Deeds have been executed for a substantial consideration between the music labels and Novex for transferring the 'on ground performance rights' in consonance with Section 18 of the Act. He has submitted that all that the Suit is concerned, is whether Novex is the exclusive owner of the Copyright and whether Novex has a right to prevent the infringement of its exclusive Copyright. Therefore, if it is held that Novex is the exclusive owner of the Copyright then what logically follows is that the Defendants have to be injuncted from infringing upon Novex's exclusive Copyright. This varsha 36 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc would be irrespective of whether or not there is a bar under Section 33(1) of the Act preventing Novex from carrying out the business of issuing licenses of its Copyrights.","8. Mr. Khambata has also referred to Section 18 (1) of the Act which specifically recognizes the owner's right to assign his copyright either wholly or partially, to any person.
",,"24. Mr. Khambata has submitted that Owner's right under Section 30 cannot be curtailed by Section 33 (1) of the Act. He has submitted that Defendants have alleged that ""no person"" in Section 33(1) includes an ""owner"" of copyright and therefore even an owner of copyright cannot commence or carry on the business of granting copyright licenses. He has submitted that such an interpretation is ex facie incorrect because :

i) If the interpretation as sought to be canvassed by the Defendant is accepted, then Section 33(1) completely takes away the right granted by Section 30 of the Act. In such a case, Section 33(1) would effectively emasculate Section 30;
ii) Further, if Defendant's interpretation is accepted then a section in a chapter dealing with copyright varsha 24 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc societies would completely subordinate and emasculate the right of an owner under Section 30, a section which falls in a different Chapter dealing with licensing. If Parliament had intended to take away any part of the owner's right under Section 30 (even by subjecting it to the compulsory agency of a registered copyright society) then an express amendment to Section 30 would have been essential.","17. Mr. Khambata has submitted that Section 34(3) of the Act clarifies that a copyright society is licensing the works of an ""owner"" under section 30. This means that a copyright society is licensing the works of the ""owner"" as a duly authorized agent under Section 30. Therefore, this is not a new right created in favour of a copyright society independent of the owner or independent of it being a duly authorized agent.","62. Mr. Kadam has submitted that in view of the aforementioned, the primary objective of copyright and provisions relating to copyright is being for the benefit and enjoyment and protection of the owner. He has also placed reliance on an extract from Copinger and Skone & James on Copyright Volume I, page 1503, Paragraphs 18-28 in this context.",,"164. Prima facie, I find that there is much merit in the submission on behalf of PPL and Novex that the above suits have been filed against the Defendants who are rank infringes as they have failed to obtain a license in respect of the works which they are exploiting. The present suits concern whether PPL and Novex are exclusive owners of the copyright and whether they have a right to prevent infringement of their exclusive copyright. This in my view would be irrespective of whether or not these is a bar under Section 33(1) of the Act preventing them from carrying on business of issuing licenses in respect of their copyright. In the event it is held that PPL and Novex are exclusive owners of the copyright then it would follow that the Defendants have to be prevented from infringing the copyright."
,,,,"9. Mr. Khambata has referred to the Right of an owner of copyright to license its work under Chapter VI of the Act. Under section 30 of the Chapter VI of the Act the Licences by owners of copyright have been provided. The owner of the copyright in any existing work or the prospective owner of the copyright in any future work may grant any interest in the right by licence in writing by him or by his duly authorised agent:
",,28. Mr. Khambata has submitted that it is also well settled that a statute is required to be harmoniously construed so that each provision is given effect to without defeating and/or destroying another.,"23. Mr. Khambata has referred to extract from Copinger and Skone James at Page 1540, wherein it is stated that the norm is that copyright licensing is done individually by the owners. It is only in situations where it becomes difficult or impossible for an owner to license his works individually that the need for Copyright Societies arises. The rationale for Copyright Societies is that it is the best means of protecting owners rights. Such Societies offer a facility to owners; they do not denude the owners of any of their rights.","126. Mr. Narula has thereafter referred to the Copyright (Second Amendment) Bill, 1992 introduced in Loksabha is on 16 th July 1992. He has in this context referred to the statement of objects and reasons and the Notes on Clauses appended to the 1992 Bill which clearly shows the intent of 1992 Bill. This was revised and modified by the Legislature before the enactment of the 1994 Amendment. He has submitted that it is important to note that Section 33(1) as proposed in the 1992 Bill did not contain the 1 st 40 [(1997) 2 SCC 820] varsha 68 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc proviso to Section 33(1). The same was introduced subsequently. Therefore, it is obvious that the legislative intent initially was to impose a complete prohibition on any person or association to carry on the business of issuing or granting license except in accordance to the registration granted under Section 33(3) of the Act.",,"165. Accordingly, the issue as to whether PPL and Novex as Plaintiffs in the above suits are entitled to seek reliefs as varsha 86 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc sought for in the plaint without being registered as a copyright society under section 33(1) of the Act is answered in the affirmative."
,,,,"10. Mr. Khambata has submitted that Section 30 of the Act is the source, which gives an ""owner"" of a copyright the power to grant any interest in the copyright by license. Section 30 applies to an ""owner"". An ""owner"" as is clear from Section 18(2) and as mentioned above includes an ""assignee"". Further, Section 30 also specifically empowers ""duly authorized agent"" of the owner, to grant license. He has referred to Section 30 (A) of the Act and has submitted that this makes it very clear that the provisions of Section 30 apply to licensing in the same way as the provisions of Section 19 apply to an assignment. Therefore, the Act allows an ""owner"" to grant a license directly or through an agent under Section 30 and then sets out the varsha 16 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc procedure for licensing by specifying that what applies to assignment would apply to licensing as well.
",,"40. Mr. Khambata has submitted that the defendants have contended that the words 'individual capacity' in Section 33(1) is the opposite of business and therefore an owner licensing his works in his individual capacity would not be doing business as per Section 33(1) of the Act. He has submitted that this argument is also completely untenable since there is nothing in the Act to suggest that the words individual capacity is the opposite of business. He has submitted that a company can also do business in its individual capacity. He has submitted that the use of the expression ' carrying on business' must be interpreted contextually. The same would not cover the owners' activity of carrying on business and include carrying on business of issuing licenses in its own name but in which others hold copyright. Hence, the expression ""individual capacity"" in Section 33(1) must be interpreted as meaning only anything opposed to ""collective capacity""

i.e. through a society. That is collective administration of owner's rights.","27. Mr. Khambata has submitted that the word 'business' has no technical meaning but is to be read with reference to the object and context of the Act in which it occurs. The interpretation necessarily has to be ""contextual"". He has submitted that for this purpose it is 3 AIR 1961 SC 112 4Order dated 17th July 2014 in NOM (L) No.1451 of 2014 in Suit (L) No.603 of 2014; 2014 SCC OnLine Bom 1324.","129. Mr. P. Shenoy, learned counsel for the Defendant in Commercial Suit No. 37362 of 2022, has supported the submissions of Dr. Tulzapur and has relied upon the 'Mischief Rule' of Statutory Interpretation, which has also been highlighted by Mr. Khambata in his submissions on behalf of Novex. He has also referred to the functions associated with the business of ""Collective Administration of Copyright"" and has submitted that what PPL did when they were varsha 69 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc registered as a copyright society and what they continue to do today (when not registered as a Copyright Society), through the artifice of taking limited partial assignments, is the same. He has referred to ""Copinger and Skone James"" (supra) on Copyright, which articulates the difference between ""Individual Exercise of Rights"" and ""Collective Administration of Rights"". He has submitted that an ""Individual Exercise of Rights"" is where each rightholder of copyright enters into agreements with prospective users of his work without ""banding together"" with other rightholders. Moreover, when it comes to certain categories of copyright, individual right holders may ""band together to exercise rights on a Collective basis"" This would involve all the individual rightholders pooling in their individual works to create a common repertoire of works in a single entity, which repertoire is then provided to a prospective user through that single entity. Any entity which manages this repertoire of works pooled together by individual rightholders, whether through assignment of ownership, licensing or agency in common parlance is considered to be a ""collecting society"" or a ""licensing body"",",,
,,,,"11. Mr. Khambata has referred to Sections 31, 31(A) to 31(D) of the Act which give a whole scheme of regulations for granting licenses compulsorily to the public. These sections fetter the right of the owner in the matter of grant of licences. He has submitted that the scheme of these sections contemplates notice to be issued to the ""owner"" to secure such licences thereby recognizing the primacy of the ""owner's right to licence"". The term owner is used in these sections not a ""registered copyright society"". These Sections of the Act envisage that it is the ""owner"" of the Copyright who is entitled to grant licenses for consideration and if he charges an exorbitant consideration, there is a remedy provided in the Act itself. It is the ""owner"" who is also entitled to be heard and to be paid.
",,"41. Mr. Khambata has thereafter referred to the second Proviso to Section 33 (1) of the Act. He has submitted that prior to 2012 Amendment by which the second proviso was added to Section 33(1), the authors of the underlying work lost their rights to their works to the owners of the sound recording or the owners of the cinematograph film who had employed them to create the underlying work. In order to correct this specific mischief a proviso was added to Section 17 as well as Section 18 as per the 2012 Amendment Act. These provisos stated that even if an individual who has authored a work has been employed by someone else i.e. the owner of the copyright, the authors' rights to the underlying work would not be affected by the ownership of the copyright by the employer. He has referred to Minister's speech tabling the 2012 Amendment and has submitted that the second proviso was introduced to assuage the grievances and/or concerns of the ""author"" community and this can also be culled out from the statement of objects and reasons to the said amendment.","31. Mr. Khambata has submitted that the Defendants have contended that ""business"" must be given the widest possible meaning and as such anything that is ""business"", including the grant of licenses varsha 27 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc by the owner is covered by Section 33 (1). He submitted that such a contention is completely counterproductive and in fact militates against the case of the Defendants. The wider the interpretation of the term ""business"", the greater the intrusion on the right available to the owner under Section 30. If business is interpreted as put forth by the Defendants, then in that case, 99% of the ownership rights would be taken away and the only right left with the owners would be to license its rights for philanthropy.","145. Thus, this decision of the Supreme Court makes it clear that Chapter VII does not take away the rights of the author/ owner. It only gives a choice to the author/ owner to either exploit its copyright on its own or to exploit its copyright through a Copyright Society. The idea of a Copyright Society is to assist the owner and not take away rights from an owner.",,
,,,,"14. Mr. Khambata has submitted that it is necessary to refer in this context to Section 33 of Chapter VII of the Act, which is reproduced as under:-

Section 33 of the Act provides as follows;
""33. Registration of Copyright society.-- (1) No person or association of persons shall, after coming into force of the Copyright (Amendment) Act, 1994 (38 of 1994) commence or, carry on the business of issuing or granting licences in respect of any work in which varsha 18 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc copyright subsists or in respect of any other rights conferred by this Act except under or in accordance with the registration granted under sub-section (3):
Provided that an owner of copyright shall, in his individual capacity, continue to have the right to grant licences in respect of his own works consistent with his obligations as a member of the registered copyright society:
Provided further that the business of issuing or granting licence in respect of literary, dramatic, musical and artistic works incorporated in a cinematograph films or sound recordings shall be carried out only through a copyright society duly registered under this Act:
Provided also that a performing rights society functioning in accordance with the provisions of section 33 on the date immediately before the coming into force of the Copyright (Amendment) Act, 1994 (38 of 1994) shall be deemed to be a copyright society for the purposes of this Chapter and every such society shall get itself registered within a period of one year from the date of commencement of the Copyright (Amendment) Act, 1994.",,"42. He has also referred to the speech of the Minister of Information and Broadcasting whilst tabling this amendment, which is in this context. Further he has also referred to Parliamentary Committee 227th Report- 2011 Bill from which the discussion on the amendment to Section 33 can be ascertained. He has submitted that it is clear therefrom that the object of the amendment was to augment /strengthen the eco system with respect to the ""author"" community and ensuring equal representation of ""authors"" and ""composers"" on one hand, and ""owners"" on the other, in copyright societies.","34. Mr. Khambata has submitted that the different chapters in an Act cover different demarcated aspects. Chapter VII of the Act covers 'Copyright Societies' and further expounds on the conditions of varsha 28 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc the registration and other associated aspects, whereas Chapter VI of the Act creates a statutory right of licensing. He has submitted that a section which comes under Chapter VII dealing with copyright societies cannot in effect, take away a right granted under a completely different chapter. Particularly when the ""clearest of language"" in this regard as used in the second proviso is absent.",,,
,,,,"(2) Any association of persons who fulfils such conditions as may be prescribed may apply for permission to do the business specified in sub-section (1) to the Registrar of Copyrights who shall submit the varsha 19 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc application to the Central Government.
",,"43. Mr. Khambata has submitted that what is significant to note in the 2nd proviso is that there is a complete embargo on carrying on the business of issuing or granting license in respect of the underlying work and this business can be carried out ""only"" through a copyright society. Therefore, it is clear that when the legislature specifically wanted rights of owners / authors to be curtailed, there was a specific, clear and unambiguous provision. This language is absent in Section 33(1). He further submitted that if the Defendants argument is accepted that Section 33(1) prevented all owners, including authors, from doing the business of granting license of copyright, then there would be no need of the second proviso.",39. Mr. Khambata has submitted that the the first proviso to Section 33(1) uses the phrase 'individual capacity'. He has submitted that the term individual capacity should not be considered to be equivalent to exercise of rights by individual authors or owners personally. It should rather be understood to mean any method other than collective management whereby right holders make their own decisions about exercise of the rights in the works.,,,
,,,,"(3) The Central Government may, having regard to the interests of the authors and other owners of rights under this Act, the interest and convenience of the public and in particular of the groups of persons who are most likely to seek licences in respect of the relevant rights and the ability and professional competence of the applicants, register such association of persons as a copyright society subject to such conditions as may be prescribed:

Provided that the Central Government shall not ordinarily register more than one copyright society to do business in respect of the same class of works. (3A)...
(4)...
(5)...",,44. Mr. Khambata has submitted that the second proviso was needed since the Parliament was clear that Section 33(1) did not prevent all owners including authors from licensing their copyrights for profit and since parliament wanted to draw distinction between the authors and the owners the second proviso became necessary. Hence it is specifically mentioned that licensing by the authors of the underlying works will only be done by the copyright society.,"49. Mr. Khambata has submitted that the argument of the Defendants is that the assignment is obtained by the plaintiff for the purpose of issuing and granting licenses and therefore cannot be enforced before this Court in view of Section 33(1). Since there is no varsha 35 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc bar in the Act in obtaining an assignment, at best and without prejudice to the argument elucidated above and, in the alternative, the bar would kick in only in respect of the actual grant or issuance of licenses. That will not affect the right of an owner independently to bring a suit for infringement of copyright and seek reliefs.",,,
