case_id,case_name,Facts,Issues,Analysis of the Law,Unnamed: 5,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,Unnamed: 9,Conclusion,Unnamed: 10
1,"Imax Corporation vs E-City Entertainment (I) Pvt. Limited ... on 24 October, 2024","1. The Petitioner- IMAX Corporation (for short ""IMAX"") , a Canadian Corporation, claiming to be the world's leading entertainment technology company, specializing in motion picture technology and large format motion picture presentations, having its registered office at 2525 Speakman Drive, Mississauga, Ontario, Canada, holding three Awards in its favour, pursuant to the arbitration proceedings, being concluded between it and E-City Entertainment (I) Pvt. Ltd. (Respondent No.1) before the International Court of Arbitration of the International Chamber of Commerce in London, has approached this Court, by filing the present Arbitration Petition, invoking Section 47, 48 and 49 of the Arbitration and Conciliation Act, 1996 (for short ""the Act of 1996""), seeking a declaration that the three Arbitral Awards in its favour, are enforceable under the provisions of Part II of the Act.",IMAX also seek directions to enforce and execute the Arbitral Awards as decrees in its favour and against all the Respondents.,"IMAX, a Canadian Corporation, was incorporated as a Federal Company on 11/09/1967 with its Executive Offices, located in New York City, which stake a claim that it is one of the world's leading entertainment companies, engaged in the business of large format projection and sound systems , with 5/168 CARBP-414-18.odt its specilization in motion picture technology. The business of the IMAX include the sale or lease of large format projection and sound systems to other companies in various parts of the world.",,"Respondent No.1- E-City Entertainment Pvt. Ltd. is represented by the learned Senior Counsel Mr. Prateek Seksaria , whereas, Respondent Nos.2 and 3 are represented by Mr. Navroz Seervai, the learned Senior Counsel, who has raised a preliminary objection about maintainability of the Petition qua Respondent Nos.2 and 3, who, according to him, are neither the parties to the Arbitration Agreement or to the Award and I will he dealing with it in due course of my analysis of the counter arguments.","Pending the enforcement and/or execution of the Arbitral Award, directions are sought against the Respondents to disclose on oath forthwith or within such time as this Court 3/168 CARBP-414-18.odt deems fit, the details of the movable and immovable properties owned by the Respondents as well as the particulars about the shares, debentures, bonds, securities etc. alongwith the debts due and payable by any third party as well as the details of bank accounts, stock in trade, cash in hand etc.","2. IMAX has filed the present proceedings in the backdrop that it is almost more than a decade, E-City has been attempting to avoid confirmation of Arbitral Awards in India, though the Awards have already received confirmation in Canada and its primary concern is, the interim period, is in fact adding an advantage to the Respondent Nos.2 to 4, who are alleged to have fraudulently stripped assets from E-city Entertainment, in an attempt to prevent IMAX from recovering the amount due to it under the Awards and the premise on which the Petition rest is, there is no valid reason not to recognize the three Awards in its favour. It is a stand adopted that, since the grounds to challenge a foreign Arbitration Award under Section 48 of the Act of 1996 are limited and none of the factor could evade the recognition and enforcement of the Awards in India, as they have been already declared to be fair and proper, after full court hearing in the Superior Court of Ontario, Canada, which has confirmed them, through a valid Judgment.",,c) The present Petition is in essence a Petition challenging the demerger scheme which is not permissible;,
,,4. I have collated the background facts from the arguments advanced on behalf of the respective counsels and as set out in the Arbitration Petition as well as the Affidavits filed on behalf of the Respondents and I deem it appropriate to cull out the sequence of events before I proceed to appreciate the rival contentions advanced and I have tried to be brief in compiling the necessary facts.,"A direction is also sought against the Respondents to deposit the decretal amount of sum of U.S. $ 11,309,496.06 plus interest at the rate of U.S. $ 2,512.60 per day from 01/10/2007 till payment and realization, with liberty to IMAX to withdraw the same.","I will be referring to the relevant clauses of this Agreement, as I deal with the contest, as the bone of contention between the Parties has its genesis in it.",,"Respondent No.4, E-City Investments and Holdings, is represented by learned senior counsel Mr. Sharan Jagtiani.","20. Focusing on his second objection, Mr.Seksaria would submit that since the Petitioner had admittedly filed separate application seeking execution only against Respondent No.1, which is pending, the present Petition to the extent that it seek reliefs which are in the nature of execution, are untenable under Section 47-49 of the Act of 1996 as it is his contention that in the said Application , the Respondent has a right to raise all such objections, which are permissible to be raised under the Code of Civil Procedure and this right cannot be taken away just by filing a Petition under Section 47-49 from restricting it to the grounds under Section 48 or by the mere recognition of an Award or by legal fiction, 'Being deemed to be Decree of this Court'.","on 28/09/2000 for lease of 6 (six) IMAX® systems by IMAX and the Final Letter Agreement reflecting the arrangement worked out, to open and develop upto 20 IMAX® systems, as it set out the commitments, the lease terms and also comprises a clause for confidentiality.",,"As a sequel to the above, the present petition in my view is barred by limitation and the argument of Mr. Seksaria on behalf of Respondent No.1, and entertaining the petition would also be hit by the public policy of India, being not to entertain the proceedings barred by the law of limitation.",
,,"IMAX Limited was incorporated as an Ontario Corporation, a sole shareholder of IMAX Corporation on 14/12/1998.","It is the claim of IMAX that the agreed interest was part of the final Award and the amount owed to IMAX is now in excess of US $ 20,860,000.00.","In the wake of aforesaid breach, IMAX invoked the dispute resolution provision of the Master Agreement, which provided for all disputes to be decided by arbitration, as per the International Chamber of Commerce rules. The arbitration was held in London before a distinguished panel of Arbitrators : Arthur Marriott, Q.C. of the then International Law Firm of Dewey Leboeuf, Professor Errol Mendes of the University of Toronto, Canada and M.L. Bhakta of the Mumbai Law Firm of Kanga & Company.",,Both parties participated in the Arbitration process through their counsel and filed pleadings and evidence and series of hearings were held in London before the Arbitral Tribunal.,"Further, according to the learned senior counsel , clause 14 of the Agreement, expressly stipulated that the transaction is contingent upon approval from RBI and as it contemplated payment of the non refundable deposit of USD 300,000 towards initial rent, the nontransferable trademark license fee, consultancy fees etc. and each of the remittances entailed prior approval of RBI/Government of India on account of the then applicable RBI Notification dated 03/05/2000 under FEMA and Rules of 2000.","6. It is the specific case of the Petitioner that after the Final Letter Agreement in form of Master Agreement was signed between the Parties, the Promoter of Essel Group went to New York to renegotiate the Master Agreement, but abruptly E-City Entertainment informed IMAX that it no longer intended to perform its obligations under the Master Agreement and an Email from the Assistant of Dr. Chandra informed IMAX that Essel Group unilaterally decided to breach the Agreement by communicating as below :-

""With time passing by and certain external forces taking toll, investment priorities for the Essel Group underwent a massive restructuring process and unfortunately, IMAX theatre investments was something that we could not prioritize, especially in light of its uncertainty for return on investment.
8/168 CARBP-414-18.odt [A]t this point in time, E-City is not in a position to make investments in IMAX theatres in India as priorities lie in building multiplex theatres, which is a part of the larger strategy of the Essel Group of getting into film products, distribution and then exhibition through E- City, thereby tapping all areas in the entire value chain related to films in the Indian market.""",,"Since Reserve Bank of India, is the central Authority responsible for its administration , the violations of FEMA is looked at with seriousness and it may lead to fines upto three times the amount involved and in severe cases, the imprisonment.",
,,"Respondent No.1-E-City Entertainment is a Company incorporated in India under the Companies Act, 1956, having its registered offence in the address mentioned in the title clause, in Mumbai. Respondent Nos.2 to 4 in the proceedings are the Essel Group Companies having their respective offices and place of business as indicated in the title clause and it is the specific contention of IMAX that the Respondents are the Companies within the Essel Group, which is a conglomerate, which owns and controls many companies and assets, including the E-City Entertainment. It is alleged that the conglomerate referring its companies as ""our companies""","3. I have heard the learned counsel Mr. Aspi Chinoy for IMAX Corporation, who has placed before me the list of dates 4/168 CARBP-414-18.odt and events in the backdrop of which he want the issues raised in the Petition filed under Section 47, 48 and 49 of the Act of 1996, to be looked into, for grant of reliefs, as prayed therein.","On 10/06/2013, the Notice of Motion was allowed and the learned Single Judge of this Court, concluded that Part I of the Act of 1996 is applicable to the case and it is permissible to challenge the Foreign Award, by invoking Section 34 of the Act of 1996 and hence all the provisions of Part I of the Act are applicable and the Petition under Section 34, is maintainable in India.",,I shall now briefly refer to the arguments advanced on behalf of the respective counsel for the contesting parties.,"26/168 CARBP-414-18.odt When IMAX issued a notice of termination of exclusivity to Respondent No.1 and asserted that they were at liberty to pursue sale and/or lease of IMAX systems, and notice of default was issued by it, and in the statement of defence, E- City adopted a specific stand that the terms of the Agreement contemplated that it was contingent upon E-City receiving RBI approval.","due to the common control and management of all the Respondents. In view of the same, the corporate veil should be lifted and all of the Respondent companies should be treated as one concern and the Petitioner should be enabled to claim on that basis. In order to safeguard the interest of IMAX, it is requested to pass order and/or a declaration that the three Arbitral Awards - the Liability Award dated 09.02.2016, the Quantum Award dated 24.08.2007 and the Final Award dated 27.03.2008 are enforceable under the provisions of the Part II of the Arbitration Act and directions to be issued to enforce and execute the said Arbitral 18/168 CARBP-414-18.odt Awards as a decree in favor of the Petitioner and against all the Respondents.""",,"In arriving at a conclusion that the award was unenforceable under Section 7 of the Foreign Awards Act, and while dealing with main objection for enforceability of the award being; NAFED was unable to comply with the contractual obligations to export due to Government's refusal; the question arose, whether enforcement of the award is against the public policy.",
,,"organizes them into 8 categories viz. Media, Technology, Entertainment, Packaging, Infrastructure, Education, Precious Metals and Healthy Lifestyles and Wellness.","At the incipience, I must introduce the parties to the Petition.","Therefore, there is no doubt that Part-I has no application because the parties chose and agreed to the arbitration being conducted outside India and the arbitration was in fact held outside India.""",,"Mr.Chinoy, on behalf of the Petitioner, has thus justified the recognition and enforcement of the three foreign awards as deemed decrees against Respondent No.1, under which an amount in excess of US $ 25.80 million is payable to the Petitioner.","25. Mr.Seervai, the learned senior counsel representing Respondent Nos.2 and 3, has assertively raised a preliminary objection about the impleadment of Respondent No.2, E-City Real Estates Private Limited and Respondent No.3, E-City Projects Construction Pvt. Ltd., on the ground that they are neither party to the contract nor they were party to the arbitration proceedings and finally on the ground that they are not even party to the award.

Relying upon this decision, Mr.Seervai has submitted that Chamber Summons was taken out for deletion of Respondent Nos.2 and 3.

","In the liability Award passed by ICC in favour of IMAX, E-city's submission on RBI approval was noted by the Tribunal and in its declaratory Award it specifically noted that there was no hint or suggestion in the letters that it was other than a deal done, but according to Mr.Seksaria, the Tribunal rendered a finding against it, however, in Statement of Defence in the post liability phase also E-City reiterated its stand that it was obliged under Foreign Investment Laws to obtain approval of RBI as per Clause 14 of the Agreement and no such approval was received, despite request and a specific stand was adopted that the execution and/or implementation of any Lease Agreement would have been illegal and unenforceable under the law of the place of performance, viz. India and, therefore, unenforceable as a matter of Singapore Law being the law applicable.",,"114. In the wake of the observations made to the above effect, I am convinced to accept the objection raised by E-City about the award not being enforceable, as it is in contravention of the fundamental policy of Indian law, since no permission of RBI was received and, therefore, no remittance was allowed, which resulted into a notice of default issued by the Petitioner on 17/05/2004.",
,,"The Essel Group controls media companies under the brand name of ""ZEE"" through ZEE TV as well as other group companies including E-City Entertainment.","8. In the sequence of events, it is noted that E-City Entertainment, on 23/07/2008 filed Arbitration Petition (L) No.525/2008 under Section 34 of the Act of 1996, raising a challenge to all the three Awards before this Court under Part I of the Act of 1996. It also took out an Application seeking 10/168 CARBP-414-18.odt condonation of delay of 20 days and sought permission to institute the proceedings for setting aside of the Awards.","11. Learned senior Counsel Mr.Aspi Chinoy has specifically impressed on the fact that the Arbitral Awards have already been confirmed by the Canadian Court and the resulting Canadian Judgment has been accepted as a New York Judgment, as he would submit that on 24/06/2011 IMAX had instituted proceedings in Superior Court of Ontario (Canadian Court) seeking recognition of the Awards and declaring them to be enforceable as Ontario Judgment under the applicable laws of Canada. According to him, the request was opposed by E-City Entertainment by marking its appearance before the Canadian Court and upon an extensive briefing, pre-trial discovery and a Court hearing before superior Court in Toranto, Canada, on 02/12/2011, the Canadian Court declared its decision confirming the Arbitration Awards and converting them into Canadian Judgment in favour of IMAX. It is pertinently pointed out, that while doing so the Court rejected E-City Entertainment's arguments that the Awards were not proper and enforceable. The Canadian Judgment was then recognized and converted into a valid United States Judgment by an order of the New York Supreme Court on 09/10/2015 with the following conclusion :-

""Ordered that IMAX Corporation's petition, seeking an order pursuant to CPLR $ 5225 (b) directing respondents The Essel Group, Subhash Chandra, Atul Goel, Amit Goenka, Laxmi Goel, ZEE TV USA, Inc., Asia TV USA Ltd., and Natural Wellness USA, Inc. to deliver sufficient funds to satisfy the judgment, or directing respondents to deliver their personal property to the Sheriff of the county of New York to satisfy the judgment, and directing respondents to render an accounting of their corporate assets is denied.
This constitutes the decision, order and judgment of the court.""",,"16. The learned senior counsel Mr.Prateek Seksaria representing E-City Entertainment, Respondent No.1, has raised three prominent points in opposing the relief sought in the Petition and for countering the submission advanced by Mr.Chinoy and his submissions can be disintegrated as below :-

a] The Petition is ex-facie barred by the Law of Limitation under Article 137 of Schedule 1 of the Limitation Act, 1973.
b] Section 47-49 of the Act of 1996, contemplate a two stage process viz. u/s 47 a Party applying for enforcement is required to produce evidence at the time of making application, whereas, Section 49 stipulate a legal fiction, where if the Court is satisfied that a foreign Award is enforceable, the Award is deemed to be a Decree of the Court, whereas, Section 48 deal with recognition of a Foreign Award. Therefore, Section 47-49 do not contemplate execution proceedings under Order XXI of the Code of Civil Procedure (""CPC"" for short), which is not relatable to Section 47-49. In the present case, the Petitioner has admittedly filed a separate Application seeking execution under Order 21 Rule 11 of the CPC, being numbered as Commercial Execution Application No.49/2017 only against Respondent No.1 on 29/03/2017 and it is pending till 19/168 CARBP-414-18.odt date, being conscious that leave under Order 21 Rule 22 of the CPC is necessary before proceeding to execute the foreign Award, with the legal fiction of it being executable as Decree of the Court. In the Execution Application, a specific order is passed to the effect that the Execution Application and Chamber Summons filed by the Judgment Debtors will have to await the outcome of Arbitration Petition No.414 of 2018.
c] The transaction contemplated under the Master Agreement is violative of RBI Notification dated 03/05/2000 under the Foreign Exchange Management Act, 1999 (""FEMA""), the Foreign Exchange Management (Current Accounts Transaction) Rules, 2000 and is violative of public policy of India and, therefore, the Awards are unenforceable under Section 48 (2) of the Act of 1996.
d] In absence of an appropriate notice being given to Respondent No.1 of the appointment of the the Arbitral Tribunal as also the Arbitral proceedings, the recognition and enforcement of the Award should be refused under Section 48(1)(b) of the Act of 1996 and also under Section 48(1)(d) of the Act as the composition of the Arbitral Authority and the procedure followed by the Arbitral Tribunal was contrary to and not in accordance with the Agreement of the parties i.e. Rules of Arbitration of the International Chamber of Commerce (applicable with effect from 01/01/1998).
e] The suppression and false statement made by the Petitioner that the Petitioner was unaware of the demerger scheme when it approached the Court in Ontario for recognition of the Foreign Award.","26. One another point on which Mr.Seervai has focused his attention, in contesting the claim in the Petition is, as regards the attack on the demerger orders, which according to him, are passed by the court of competent jurisdiction and it is his contention that the Petitioner is attempting to raise a collateral challenge to the order of demerger passed by the competent Court and this is not a permissible course of action, since IMAX has sought to assail the demerger orders, by submitting that it is not required to challenge the said orders 14 (2022) 1 Supreme Court Cases 753 31/168 CARBP-414-18.odt to sustain a tracing action in respect of assets of E-City Entertainment, that have been alleged to be transferred to the Respondent Nos.2 and 3.","24. In addition, Mr. Seksaria has also stressed upon another leg of public policy being ""fair hearing"" and it is his contention that a party, in an adversery system is required to challenge in cross-examination the evidence of any witness of opposing party, if he wishes to submit to the court that evidence should not be accepted on that point, which is a matter of fairness and 10 (2020) 19 SCC 260 11 (2021) 19 SCC 629 28/168 CARBP-414-18.odt this ensure that the witness is given an opportunity to explain his or her evidence if is to be so impugned.",,121/168 CARBP-414-18.odt,
,,"Respondent No.1-E-City Entertainment Pvt. Ltd. is alleged to be a Company of the Essel Group, whose shares are held and controlled by one Dr.Subhash Chandra, Promoter of the Group alongwith his brothers and the family members.","9. IMAX challenged this interim order dated 10/06/2023 before the Apex Court by filing Civil Appeal No.3885/2017, when the finding rendered by the learned Single Judge came to be reversed, thereby dismissing the Petition filed by E-City Entertainment under Section 34 of the Act of 1996. The Apex Court recorded its finding as below :

""31. The significant determinant in each case is the agreement of the parties as to the place of arbitration and where in fact the arbitration took place. If in pursuance of the arbitration agreement, the arbitration took place outside India, there is a clear exclusion of Part-I of the Arbitration Act. In the present case, the parties expressly agreed that the arbitration will be conducted according to the ICC Rules of Arbitration and left the place of arbitration to be chosen by the ICC. The ICC in fact, chose London as the seat of arbitration after consulting the parties. The arbitration was held in London without demur from any of the parties. All the awards i.e. the two partial final awards, and the third final award, were made in London and communicated to the parties. We find that this is a clear case of the exclusion of Part-I vide Eitzen Bulk A/S (supra), and the decisions referred to an followed therein.
32. The respondent contends before us that Part-I of the award was applicable, however they themselves stated the place of arbitration to be London.
It is pertinent to reproduce the relevant portion in the respondent's application before the ICC while objecting to the authority of the law firms representing the appellant. It stated :-
""The seat of this arbitration is London.""
11/168 CARBP-414-18.odt Therefore, the two reasons for Part-I not being applicable are as follows :-
(i) Parties agreed that the seat may be outside India as may be fixed by the ICC; and
(ii) It was admitted that the seat of arbitration was London and the award was made there.","12. Mr.Chinoy while pressing the relief in the present Petition for recognition and enforcement of the Arbitral Award has justified the impleadment of Respondent Nos.2, 3 and 4 by advancing his submission, that Respondent No.1, in the midst of arbitration, began to divest the assets of E-City Entertainment in an unlawful manner, with a design to prevent IMAX from recovering the expected damages to be awarded and he would accuse E-City Entertainment of acting in breach of the provisions of Section 391 to 394 of the Companies Act, 1956, by failing to give the Petitioner notice of the demerger process, which could have enabled the Petitioner to appear before the Court and raise an objection, but this opportunity was denied to IMAX.
I will be dealing with this point and the response of Mr. Seervai to the said submissions at the appropriate stage.",,"17. In support of his submission that the Petition is barred under Article 137 of Schedule 1 of the Limitation Act, 20/168 CARBP-414-18.odt Mr.Seksaria has urged, that the Declaratory Award was passed by the ICC Tribunal on 09/02/2006 and the partial Final Award on jurisdiction and quantum is dated 24/08/2007, whereas the Final Award is passed on 27/03/2008.","29. Mr.Sharan Jagtiani, learned senior counsel, representing Respondent No.4, a company incorporated on 29/09/2000 with its primary objective being to invest, hold and acquire shares and other securities in other companies, with Respondent Nos.1 to 3 being some of such companies, has also opposed the Petition, with reliefs sought therein.","According to the learned senior counsel, in absence of a direct challenge to the demerger orders, it is not open to IMAX to chase the assets that stood transferred to the Respondents with the imprimatur of the Company Court and that too on some unsubstantiated ground that the demerger was fraudulent. It is also clarified that in the wake of the demerger orders, the assets that stood transferred to the Respondents also carried with it respective liabilities and this submission is the heart of his case.",,"122/168 CARBP-414-18.odt Reply statement of Mr.David Berman(on behalf of IMAX Corporation) is also to be noted, where he admitted as below :-",
,,6/168 CARBP-414-18.odt,"10. E-City Entertainment/Respondent No.1 on 27/11/2014 instituted Suit No.300/2015 and filed Notice of Motion No.1112/2016 against IMAX, inter alia, seeking damages and permanent injunction from taking action to enforce the Arbitral Award in New York Court.","13. It is also the argument of Mr. Chinoy that it is now a well settled position of law, that in case of a foreign award, the award holder is entitled to apply for recognition of the Award and seek its enforcement/execution as a decree by filing a common petition. He would place reliance upon the decision of the Apex Court in case of Government of India Vs.Vedanta Limited & Ors.1 and in particular, the relevant observation to the effect that the proceedings seeking recognition and enforcement of a foreign award has different stages; in first stage the Court would decide about enforceability of the Award having regard to the requirement of Section 47 and 48 of the Act of 1996, but once it is so decided, it would proceed to take further effective steps for execution of the Award and if the 1 (2020) 10 SCC 1 14/168 CARBP-414-18.odt desired object and purpose can be served in the same proceedings, there is no need to take two separate proceedings, as it would result in multiplicity of the proceedings.
Relying upon the said decision, it is the submission of Mr. Chinoy that recognition of Award is required to be first decided as against E-City Corporation i.e. Respondent no.1 and once the Court decides that it is enforceable, it shall be deemed to be a decree of the Court against Respondent No.1 and the Court shall take effective steps for its execution.
At this juncture, Mr.Chinoy clarify that Respondent Nos.2 to 4 are not joined in the Petition as Judgment-Debtors under Award, but they are impleaded as Respondents for execution/effective enforcement of the Award/Decree against Respondent No.1, who is accused of transferring the assets and properties in favour of Respondent Nos.2 and 3 in a systematic manner, so as to divest E-City Entertainment of its assets during the continuation of the Arbitration proceedings, by using the device of the Scheme of demerger. He has, therefore, urged that this is a fit case where corporate veil of Respondent Nos.2 and 3 shall be lifted and execution be permitted against them, as they are holding the improperly divested properties of Respondent No.1.
He would place reliance upon the decision of Division Bench of this court in case of Bhatia Industries & Infrastructure Limited Vs. Asian Natural Resources (India) Ltd. & Vitol S.A.2 to buttress his submission that the doctrine of piercing corporate veil is also applicable in execution 2 2016 SCC OnLine Bom 10695 15/168 CARBP-414-18.odt proceedings, when the Court from the material on record arrive at a conclusion that the Judgment-Debtor is trying to defeat the execution of the Award passed against him and he would submit that the the frontiers of the doctrine of lifting of corporate veil are unlimited and it must be applied depending upon the realities of the situation, as it aim at doing justice to the parties and the horizon of this doctrine is definitely expanding in the modern scenario.",,"The learned counsel would recall the decision of the Apex Court in case of S.Nagaraj & Ors. Vs. State of Karnataka & Ors.7, to support his submission that the fundamental principle is, that justice is above law and the Court is not precluded from recalling its own order even suo motu or rectifying the error, if it is satisfied that it is necessary to do so.","This Court, according to Mr.Jagtiani, dismissed the Chamber Summons, by concluding that the Respondents 19 2020 SCC Onlline Bom 217 39/168 CARBP-414-18.odt sought to be added, not being parties to the foreign arbitration proceedings and/or foreign award, the Chamber Summons appeared to evade the provision, as they were not parties as envisaged under Section 48 of the said Act, as the foreign award was enforceable only against the Judgment Debtor, who was the party to the arbitration agreement and against whom the award was passed and the foreign award cannot be enforced against the additional Respondents, who are neither parties to the arbitration agreement nor to the award.","27. Being extremely critical about the stand adopted by IMAX, that demerger is a ""sham"" and by referring it as ""conspiracy"", he would respond by submitting that these words are not to be used as magic mantras or catch-all phrase, to defeat or nullify the effect of a legal situation and in absence of sufficiency of grounds, it is not open for IMAX to claim that the demerger orders are nullity in order to visit liability from the Respondents. Further, according to him, an order sanctioning scheme of arrangement operates as judgment in rem, which is good against the whole world and not only bind the parties to the arrangement, but also to the third parties and strangers. By drawing the principle laid down in In re Europlast India Ltd.17, which has pronounced that the scheme of arrangement ""represents a contract sanctified by a Courts' approval between the company and the creditors and/or members of the company....sanction of the Court operates as judgment in rem"", Mr.Seervai described the argument advanced on behalf of the Petitioner to be monstrously egregious, which therefore must meet rejection. It is his 16 (2011) 12 SCC 588 17 2010 Supp BomCR 425 33/168 CARBP-414-18.odt specific contention that if the Petitioner is submitting that it is not seeking recognition in Respondent Nos.2 and 3, since no role is attributed to them, but despite this, they are foisted with the consequences.",,"""... RBI approval has been obtained for IMAX Theaters in Mumbai, Hyderabad, Delhi....",
,,"5. With the introduction of the Parties, I shall now refer to the subject Agreement, entered in form of ""Master Agreement""","With these background facts, IMAX has filed Arbitration Petition under Section 47, 48, 49 of the Act of 1996, seeking enforcement of the three Awards in its favour under the provisions of Part II of the Act of 1996 and also praying for its execution in form of decrees.","14. Mr. Chinoy would rely upon the pleadings in the Petition, in an attempt to demonstrate that the Respondents had in a clandestine manner with a clear intention of defrauding Petitioners claim on the arbitral awards, divested assets E-City Entertainment in favour of E-City Real Estate Pvt. Ltd. and E- City Project Construction Pvt. Ltd., by approaching the court under Section 391 to 394 of the Companies Act 1956, to demerge the valuable assets in favour of the two entities.
In the Petition, the sequence of events reflecting the scheme of arrangement between the E-City Entertainment and the Respondents nos.2 and 3 is specifically pleaded as a deliberate attempt of the Respondents to transfer a substantial portion of E-City Entertainment's assets by preventing IMAX from receiving notice of this transfer, so that it could not object to the fraudulent demerger.
Mr. Chinoy has specifically stressed on the timelines, by submitting that the Petitioner is now facing a scenario, as E- City Entertainment and Essel Group, have improperly tried to avoid compensating the Petitioner IMAX from the Arbitral Awards and the assets of E-City Entertainment were 16/168 CARBP-414-18.odt fraudulently stripped, when it became clear in the arbitration proceedings, that IMAX would receive damages. It is also alleged that the E-City Entertainment being a group company belonging to Essel Group is under common control and management of its promoters who control all the companies and have been successful in fraudulently siphoning the assets and funds from E-City Entertainment to defeat satisfaction of the Arbitral Awards.
According to Mr.Chinoy the group of companies should be treated as one concern, especially when a parent Company owns all the shares of the subsidiaries and exercise control over it and in the present case, the Respondent/E-City Real Estate and E-City Project Construction are the companies owned by the Essel Group Promoters and each of them should be treated as an alter ego of E-City Entertainment and shall receive a treatment as ""single entity'.
The Demerger process from E-City Entertainment to E- City Real Estate and E-City Projects Construction, without giving notice to IMAX as the largest contingent creditor was a sham, according to Mr.Chinoy, as it was done with a fraudulent intention to place the assets of E- City Entertainment beyond the reach of IMAX.
According to the learned senior counsel, the sole reason for carrying out the purported corporate restructuring was to enable the management and/or beneficial owners of the E-City Entertainment to recommence their business after the insolvency of the E-City Entertainment and, according to him, IMAX was the largest creditor of E-City Entertainment and it has been put in a position, of it being unable to satisfy the 17/168 CARBP-414-18.odt Arbitral Awards. The demerged companies, E-City Real Estate and E-City Projects Construction including E-City Investments which is the ultimate holding company of the demerged companies are presently owning the assets of E-City Entertainment and are running the business undertakings which were previously part of E-City Entertainment, having left the creditor, the E-City Entertainment without any recourse, is his contention.",,"According to him, the issue of limitation will have to be decided in accordance with the law laid down by the Supreme Court in Vedanta Limited(supra) and the only inevitable conclusion is, that the Petition is hopelessly barred by Law of Limitation.","E-City while admitting that an agreement was entered into on 22/11/2000 in respect of one IMAX system, specifically adopted a stand that the execution of purchase and maintenance agreement was not done in response to an obligation purportedly contained in the LOI, as alleged in the statement of case and saved by the claimant's letter dated 20/12/2000 and countersigned by the respondent, the purchase and maintenance agreements were terminated.","It is specifically urged by Mr.Seervai that in the present proceedings, IMAX has failed to assert as to when the cause of action arose for it against the Respondents and when it derived knowledge of the said cause of action, since the pleadings in the Petition are completely silent on this aspect and, therefore, it is not open for the Court to decide such an important issue in absence of pleadings, as it would defeat the purpose of the Limitation Act, 1963. It is his specific contention that the fact of demerger was known to IMAX as far 35/168 CARBP-414-18.odt back as June 2011 and, therefore, this ought to have been reckoned as starting point for limitation insofar as the group companies are concerned, but institution of the present proceedings in April 2018, which is beyond the period of three years of limitation, the proceedings must fail.",,"In each of these transactions, the transaction has been structured or restructured as a sale from the standard Imax lease transaction.",
,,"The Final Letter Agreement contemplated that each Lease Agreement between IMAX and E-City shall be for a term of twenty (20) years (the ""Initial Term""), with one renewal term of ten (10) years (the ""Renewal Term""), with a 7/168 CARBP-414-18.odt contemplation of renewal of the term at E-City's option for one (1) Thirty-five (35) year, on the same terms and conditions as contained in the Lease Agreement, except the payment of initial rent, which will not be required.",ARGUMENTS ADVANCED ON BEHALF OF IMAX CORPORATION,"15. Mr. Chinoy has specifically invited my attention to the pleadings in the Petition to the following effect :-
""63. The majority of the assets of the E-City Entertainment were transferred to the E-City Real Estate under Scheme 1 and to the E-City Projects Construction under Scheme 2. As a consequence of same, very less of the assets remained vested in E-City Entertainment. As against the highly depleted assets, E-City Entertainment had on its books of accounts a huge contingent liability which E-City Entertainment knew would become an actual Award. Indeed, the actual damages Award was rendered by the Arbitration Panel while the Scheme 2 demerger was pending, but the Demerger Petition was never amended to inform this Hon'ble Court. As shown by the facts discussed above, all of the Respondents and Directors of all the Respondents conspired against the Petitioner by draining E-City Entertainment's assets. Given the award of damages which the Arbitral Tribunal has awarded, as a result of the sham demerger Petitioner it will not be able to recover the full amount awarded from E-City Entertainment. Further, all the Respondents have conspired together to fraudulently transfer the assets of E-City Entertainment in favor of E-City Real Estate and E-City Projects Construction. E-City Real Estate and E-City Projects Construction are an alter-ego of E-City Entertainment and therefore should be treated as a ""single entity""",,"Mr. Seksaria has invited my attention to the following decisions in support of his contention, that such a transaction is against the fundamental policy of India :-

(i) National Agricultural Co-Operative Marketing Federation of India Vs. Alimenta S.A.10
(ii) Asha John Divianathan Vs. Vikram Malhotra & Ors.11","In addition, it was the pleaded case of the Respondent in its statement of defence that EML is not a subsidiary, holding company and/or related company to the respondent, and all 46/168 CARBP-414-18.odt and any further negotiations post the executions of the LOI where negotiations relating to the implementation of the terms of LOI and not pursuant to any binding legal obligation.","He has reproduced a table showing the group companies and their holding, which I reproduce :-

: List of Related Parties of Respondent No.4, E-City Investments :
Name of the Related Party Relationship R1- E-City Entertainment Company Private Associate Company Limited R2-E-City Real Estate Private Limited Subsidiary Company R3- E-City Projects Construction Private Subsidiary Company Limited : Shareholding Pattern of Respondent No.4 E-City Investments:
Name of Shareholder No. of Shares % of holding Essel Group Promoter Mr.Atul Goel 1,546,623 19 Essel Group Promoter Mr.Laxmi Goel 26,15,637 32.13 Essel Group Promoter Mr.Arpit Goel 11,14,351 13.69 Essel Group Promoter Mr.Charu Goel 1,546,623 19 Essel Group Promoter Mr.Ankit Goel 13,16,885 16.18 37/168 CARBP-414-18.odt",,"...purchase agreements structured in the manner we have in India do not pose an issue for the RBI.""",
